id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2316,2020-01-30,000001,Vente,264000,50,,RUE COLBERT,0245,01500,01004,Ambérieu-en-Bugey,01,,,01004000BD0879,,,,,,,,,,,,,0,1,Maison,89,4,S,sols,,,420,5.361489,45.959701
2020-2316,2020-01-30,000001,Vente,264000,,,LES PLATTES,B203,01500,01004,Ambérieu-en-Bugey,01,,,01004000BD0881,,,,,,,,,,,,,0,,,,,S,sols,,,88,5.360774,45.959476
2020-2317,2020-01-29,000001,Vente,12000,17,,RUE AIME PONCET,0020,01500,01004,Ambérieu-en-Bugey,01,,,01004000AO0054,,,103,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.353797,45.963604
2020-2318,2020-01-29,000001,Vente,312000,,,LA CROIX DE BOIS,B024,01360,01224,Loyettes,01,,,012240000B1247,,,,,,,,,,,,,0,,,,,S,sols,,,64,5.20869,45.777801
2020-2318,2020-01-29,000001,Vente,312000,,,LA CROIX DE BOIS,B024,01360,01224,Loyettes,01,,,012240000B1248,,,,,,,,,,,,,0,,,,,S,sols,,,28,5.208831,45.777645
2020-2318,2020-01-29,000001,Vente,312000,,,LA CROIX DE BOIS,B024,01360,01224,Loyettes,01,,,012240000B1249,,,,,,,,,,,,,0,,,,,S,sols,,,103,5.209523,45.77717
2020-2318,2020-01-29,000001,Vente,312000,28,,IMP DES MURIERS,0037,01360,01224,Loyettes,01,,,012240000B1419,,,,,,,,,,,,,0,1,Maison,107,5,S,sols,,,687,5.209526,45.777393
2020-2319,2020-01-29,000001,Vente,220000,8,,RUE JEAN ET HELENE DOLE,0044,01150,01390,Saint-Vulbas,01,,,013900000B1624,,,,,,,,,,,,,0,1,Maison,89,4,S,sols,,,186,5.290947,45.835859
2020-2320,2020-01-22,000002,Vente,97000,72,,RUE DE LA TOUR,0694,01200,01033,Valserhône,01,,,01033091AB0084,,,,,,,,,,,,,0,1,Maison,63,4,S,sols,,,92,5.799705,46.145217
2020-2320,2020-01-22,000002,Vente,97000,32,,RUE SAINT JOSEPH,0693,01200,01033,Valserhône,01,,,01033091AB0487,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,190,5.799869,46.145319
2020-2321,2020-01-16,000001,Vente,363800,178,,RTE DE CHATEAU COVET,0008,01100,01181,Groissiat,01,,,011810000B0167,,,,,,,,,,,,,0,1,Maison,204,11,P,prés,,,1431,5.612609,46.230445
2020-2321,2020-01-16,000001,Vente,363800,178,,RTE DE CHATEAU COVET,0008,01100,01181,Groissiat,01,,,011810000B0167,,,,,,,,,,,,,0,1,Maison,204,11,S,sols,,,1701,5.612609,46.230445
2020-2321,2020-01-16,000001,Vente,363800,,,SIMON,B064,01100,01181,Groissiat,01,,,011810000B0522,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,582,5.613112,46.23029
2020-2321,2020-01-16,000001,Vente,363800,,,SIMON,B064,01100,01181,Groissiat,01,,,011810000B0529,,,,,,,,,,,,,0,,,,,S,sols,,,240,5.613506,46.23009
2020-2322,2020-01-29,000001,Vente,180000,3,,RUE DU GEN ANDREA,0001,01100,01014,Arbent,01,,,01014000AB0102,,,,,,,,,,,,,0,1,Maison,119,4,S,sols,,,236,5.683726,46.296547
2020-2323,2020-01-29,000001,Vente,100000,21,,RUE ANATOLE FRANCE,0050,01100,01283,Oyonnax,01,,,01283000AC0483,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.659566,46.262095
